coleta,colonia,ambiente,cidade,emergencia,tratamento,id_vespa,teste,invisibility time,Explored areas,exploration_rate,total_distance,total time frozen,n_braco,atividade_t,
coleta_2,rur.pent.05,rural,pentecoste,antes_manejo,pobre,rur.pent.05.azul-verde,2,00:00:00,1,0.00,10.25,00:04:59,1,0:00:01,
coleta_2,rur.pent.05,rural,pentecoste,antes_manejo,pobre,rur.pent.05.rosa-branco,1,00:00:00,9,0.02,409.80,00:03:53,1,0:01:07,
coleta_2,rur.pent.05,rural,pentecoste,antes_manejo,rico,rur.pent.05.rosa-branco,3,00:00:00,9,0.02,172.14,00:04:28,1,0:00:32,
coleta_2,rur.pent.05,rural,pentecoste,antes_manejo,pobre,rur.pent.05.rosa-branco,2,00:00:00,1,0.00,133.69,00:04:51,1,0:00:09,
coleta_2,rur.pent.05,rural,pentecoste,antes_manejo,rico,rur.pent.05.rosa-branco,4,00:00:00,12,0.03,662.03,00:04:10,0,0:00:50,
coleta_2,rur.pent.05,rural,pentecoste,antes_manejo,pobre,rur.pent.05.verde-rosa,2,00:00:07,89,0.21,7992.31,00:00:24,5,0:04:36,
coleta_2,rur.pent.05,rural,pentecoste,antes_manejo,rico,rur.pent.05.verde-rosa,3,00:00:02,118,0.29,8486.13,00:00:06,7,0:04:54,
coleta_2,rur.pent.05,rural,pentecoste,antes_manejo,rico,rur.pent.05.verde-rosa,4,00:00:19,81,0.20,6138.35,00:00:40,4,0:04:20,
coleta_2,rur.pent.06,rural,pentecoste,depois_manejo,rico,rur.pent.06.amarelo-roxo,3,00:00:03,147,0.33,6026.86,00:00:54,8,0:04:06,
coleta_2,rur.pent.06,rural,pentecoste,depois_manejo,pobre,rur.pent.06.amarelo-roxo,2,00:00:36,134,0.34,9512.49,00:00:09,8,0:04:51,vespa oculta em parte do viedo
coleta_2,rur.pent.06,rural,pentecoste,depois_manejo,pobre,rur.pent.06.amarelo-roxo,1,00:00:02,55,0.14,2787.73,00:01:51,4,0:03:09,
coleta_2,rur.pent.06,rural,pentecoste,depois_manejo,pobre,rur.pent.06.azul-roxo,1,00:00:09,112,0.28,5078.44,00:00:38,8,0:04:22,
coleta_2,rur.pent.06,rural,pentecoste,depois_manejo,pobre,rur.pent.06.azul-roxo,2,00:00:03,37,0.09,873.01,00:04:03,3,0:00:57,
